2025_07_29_07_12_06_L_001.csv,ブーム:,L,穿孔No.:,1,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
41,8,50,57,834,1.05,1.475,14.5,3.4,4.4,0,1,72.1,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
42,8,50,58,33,1.056,1.384,14.5,3.4,4.5,0,1,78.9,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
43,8,50,58,233,1.068,1.764,14.6,3.2,5.3,0,1,72.5,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
44,8,50,58,434,1.085,2.464,14.4,3.7,5.4,0,1,51.3,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
45,8,50,58,633,1.099,3.194,14.1,3.6,5.7,0,1,40.5,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
46,8,50,58,833,1.11,2.662,14.3,4,5.5,0,1,47.7,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
47,8,50,59,34,1.117,2.099,14.6,4,5.7,0,1,65.6,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
48,8,50,59,234,1.125,1.734,14.4,3.6,5.7,0,1,76.9,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
49,8,50,59,433,1.131,1.445,14.7,3.7,5.9,0,1,101.5,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
50,8,50,59,633,1.133,1.004,14.5,4.1,5.5,0,1,130.9,1446,-34521.381,33250.944,54.316,3863.444,-0.145,5.822,44.1298,78.111,-0.7433,11.889,,1,1,3866,,,,,,
51,8,50,59,833,1.14,0.882,14.7,3.7,5.6,0,1,156.4,1446,-34521.381,33250.944,54.316,3863.444,-0.145,5.822,44.1298,78.111,-0.7433,11.889,,1,1,3866,,,,,,
52,8,51,0,33,1.149,1.369,14.3,3.4,5.9,0,1,100.1,1446,-34521.381,33250.944,54.316,3863.444,-0.145,5.822,44.1298,78.111,-0.7433,11.889,,1,1,3866,,,,,,
53,8,51,0,234,1.159,1.84,14.7,3.9,5.5,0,1,73.8,1446,-34521.381,33250.944,54.316,3863.444,-0.145,5.822,44.1298,78.111,-0.7433,11.889,,1,1,3866,,,,,,
54,8,51,0,433,1.165,1.78,14.4,3.6,5.7,0,1,76,1446,-34521.381,33250.944,54.316,3863.444,-0.145,5.822,44.1298,78.111,-0.7433,11.889,,1,1,3866,,,,,,
55,8,51,0,633,1.182,2.449,14.8,3.6,5.1,0,1,51.9,1446,-34521.381,33250.944,54.316,3863.444,-0.145,5.822,44.1298,78.111,-0.7433,11.889,,1,1,3866,,,,,,
56,8,51,0,834,1.195,2.738,14.9,3.5,5.6,0,1,51.8,1446,-34521.381,33250.944,54.316,3863.444,-0.145,5.822,44.1298,78.111,-0.7433,11.889,,1,1,3866,,,,,,
57,8,51,1,34,1.207,2.859,15,4,5.3,0,1,47.7,1446,-34521.381,33250.944,54.316,3863.444,-0.145,5.822,44.1298,78.111,-0.7433,11.889,,1,1,3866,,,,,,
58,8,51,1,233,1.217,2.388,14.8,4.3,5.5,0,1,57,1446,-34521.233,33250.867,54.29,3863.393,-0.304,5.796,43.4934,78.6513,-1.3797,11.3487,,1,1,3866,,,,,,
59,8,51,1,433,1.224,1.886,14.3,3.5,5.6,0,1,68.9,1446,-34521.233,33250.867,54.29,3863.393,-0.304,5.796,43.4934,78.6513,-1.3797,11.3487,,1,1,3866,,,,,,
60,8,51,1,633,1.234,1.734,14.4,3.9,5.4,0,1,73.7,1446,-34521.233,33250.867,54.29,3863.393,-0.304,5.796,43.4934,78.6513,-1.3797,11.3487,,1,1,3866,,,,,,
61,8,51,1,833,1.242,1.84,14.3,3.6,5.6,0,1,70.8,1446,-34521.233,33250.867,54.29,3863.393,-0.304,5.796,43.4934,78.6513,-1.3797,11.3487,,1,1,3866,,,,,,
62,8,51,2,33,1.253,1.916,14.4,3.3,5.6,0,1,69.2,1446,-34521.233,33250.867,54.29,3863.393,-0.304,5.796,43.4934,78.6513,-1.3797,11.3487,,1,1,3866,,,,,,
63,8,51,2,234,1.263,1.916,14.6,4.2,5.4,0,1,67.9,1446,-34521.258,33250.949,54.273,3863.354,-0.228,5.779,43.6541,78.8352,-1.2189,11.1648,,1,1,3866,,,,,,
64,8,51,2,433,1.268,1.81,14.3,3.6,5.7,0,1,73,1446,-34521.258,33250.949,54.273,3863.354,-0.228,5.779,43.6541,78.8352,-1.2189,11.1648,,1,1,3866,,,,,,
