2025_07_29_07_12_06_R_002.csv,ブーム:,R,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
43,8,3,47,933,0.259,2.19,13.8,5.7,5.3,0,1,53.4,8371,-34531.066,33246.87,49.006,3873.182,3.801,0.512,226.736,89.4777,-178.137,0.5223,,1,1,3866,,,,,,
44,8,3,48,133,0.265,2.008,13.9,6.3,5,0,1,54.4,8371,-34531.066,33246.87,49.006,3873.182,3.801,0.512,226.736,89.4777,-178.137,0.5223,,1,1,3866,,,,,,
45,8,3,48,334,0.271,1.886,13.9,6.9,4.4,0,1,51.4,8371,-34531.066,33246.87,49.006,3873.182,3.801,0.512,226.736,89.4777,-178.137,0.5223,,1,1,3866,,,,,,
46,8,3,48,533,0.278,1.932,13.9,6.1,4.7,0,1,53.7,8371,-34531.066,33246.87,49.006,3873.182,3.801,0.512,226.736,89.4777,-178.137,0.5223,,1,1,3866,,,,,,
47,8,3,48,733,0.285,1.993,13.9,5.8,4.8,0,1,52.9,8371,-34531.109,33246.833,49.019,3873.239,3.805,0.525,226.8121,89.3616,-178.061,0.6384,,1,1,3866,,,,,,
48,8,3,48,933,0.292,2.084,13.9,5.5,4.9,0,1,52.2,8371,-34531.109,33246.833,49.019,3873.239,3.805,0.525,226.8121,89.3616,-178.061,0.6384,,1,1,3866,,,,,,
49,8,3,49,133,0.298,2.069,13.9,5.7,5.3,0,1,55.8,8371,-34531.109,33246.833,49.019,3873.239,3.805,0.525,226.8121,89.3616,-178.061,0.6384,,1,1,3866,,,,,,
50,8,3,49,333,0.305,1.993,13.9,5.8,5.4,0,1,59.3,8371,-34531.109,33246.833,49.019,3873.239,3.805,0.525,226.8121,89.3616,-178.061,0.6384,,1,1,3866,,,,,,
51,8,3,49,534,0.311,1.916,13.9,6.1,5.1,0,1,57.9,8371,-34531.109,33246.833,49.019,3873.239,3.805,0.525,226.8121,89.3616,-178.061,0.6384,,1,1,3866,,,,,,
52,8,3,49,733,0.318,1.962,13.9,5.8,4.8,0,1,53.2,8371,-34531.109,33246.833,49.019,3873.239,3.805,0.525,226.8121,89.3616,-178.061,0.6384,,1,1,3866,,,,,,
53,8,3,49,933,0.325,2.008,13.9,5.5,4.8,0,1,52.8,8371,-34531.109,33246.833,49.019,3873.239,3.805,0.525,226.8121,89.3616,-178.061,0.6384,,1,1,3866,,,,,,
54,8,3,50,134,0.332,2.008,13.9,5.4,5.1,0,1,55.5,8371,-34531.109,33246.833,49.019,3873.239,3.805,0.525,226.8121,89.3616,-178.061,0.6384,,1,1,3866,,,,,,
55,8,3,50,333,0.338,1.977,13.8,5.1,5.5,0,1,60.6,8371,-34531.139,33246.801,49.01,3873.283,3.804,0.516,226.8078,89.4262,-178.0653,0.5738,,1,1,3866,,,,,,
56,8,3,50,533,0.344,1.932,13.8,5.3,5.5,0,1,62.3,8371,-34531.139,33246.801,49.01,3873.283,3.804,0.516,226.8078,89.4262,-178.0653,0.5738,,1,1,3866,,,,,,
57,8,3,50,733,0.351,1.932,13.8,6.1,5.1,0,1,58.2,8371,-34531.139,33246.801,49.01,3873.283,3.804,0.516,226.8078,89.4262,-178.0653,0.5738,,1,1,3866,,,,,,
58,8,3,50,933,0.357,1.886,13.9,6.5,4.8,0,1,55.6,8371,-34531.139,33246.801,49.01,3873.283,3.804,0.516,226.8078,89.4262,-178.0653,0.5738,,1,1,3866,,,,,,
59,8,3,51,133,0.363,1.84,13.9,6.7,4.6,0,1,55.2,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
60,8,3,51,333,0.369,1.81,13.9,5.8,4.8,0,1,58.3,8371,-34531.166,33246.77,49.015,3873.323,3.801,0.521,226.8406,89.3776,-178.0325,0.6224,,1,1,3866,,,,,,
