2025_07_29_07_12_06_R_002.csv,ブーム:,R,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
3178,8,19,1,914,14.988,1.384,13.8,7.4,3.9,0,6,55.4,8376,-34530.84,33247.14,48.793,3872.831,3.833,0.3,226.3715,90.9747,-178.5015,-0.9747,,1,1,3866,,,,,,
3179,8,19,2,113,14.992,1.232,13.9,7.2,4.3,0,6,69.2,8376,-34530.84,33247.14,48.793,3872.831,3.833,0.3,226.3715,90.9747,-178.5015,-0.9747,,1,1,3866,,,,,,
3180,8,19,2,313,14.996,1.262,13.9,6.4,4.4,0,6,69.6,8376,-34530.881,33247.099,48.79,3872.889,3.833,0.296,226.3265,91.0236,-178.5466,-1.0236,,1,1,3866,,,,,,
3181,8,19,2,513,15.001,1.308,13.8,7,4,0,6,59.7,8376,-34530.881,33247.099,48.79,3872.889,3.833,0.296,226.3265,91.0236,-178.5466,-1.0236,,1,1,3866,,,,,,
3182,8,19,2,713,15.005,1.308,13.8,6.3,4.7,0,6,70.7,8376,-34530.881,33247.099,48.79,3872.889,3.833,0.296,226.3265,91.0236,-178.5466,-1.0236,,1,1,3866,,,,,,
3183,8,19,2,913,15.01,1.43,13.9,6.9,4.1,0,6,57.8,8376,-34530.881,33247.099,48.79,3872.889,3.833,0.296,226.3265,91.0236,-178.5466,-1.0236,,1,1,3866,,,,,,
3184,8,19,3,113,15.015,1.338,13.8,7.4,3.7,0,6,55,8376,-34530.881,33247.099,48.79,3872.889,3.833,0.296,226.3265,91.0236,-178.5466,-1.0236,,1,1,3866,,,,,,
3185,8,19,3,313,15.018,1.202,13.8,7.4,4.1,0,6,67.8,8376,-34530.881,33247.099,48.79,3872.889,3.833,0.296,226.3265,91.0236,-178.5466,-1.0236,,1,1,3866,,,,,,
3186,8,19,3,513,15.023,1.323,13.9,6.3,4.4,0,6,67.2,8376,-34530.881,33247.099,48.79,3872.889,3.833,0.296,226.3265,91.0236,-178.5466,-1.0236,,1,1,3866,,,,,,
3187,8,19,3,713,15.028,1.338,13.8,7.8,3.7,0,6,54.7,8376,-34530.881,33247.099,48.79,3872.889,3.833,0.296,226.3265,91.0236,-178.5466,-1.0236,,1,1,3866,,,,,,
3188,8,19,3,913,15.031,1.186,13.8,7,4.3,0,6,72,8376,-34530.906,33247.078,48.789,3872.922,3.836,0.295,226.2719,91.0238,-178.6011,-1.0238,,1,1,3866,,,,,,
3189,8,19,4,113,15.035,1.186,13.9,7.2,4.3,0,6,72,8376,-34530.906,33247.078,48.789,3872.922,3.836,0.295,226.2719,91.0238,-178.6011,-1.0238,,1,1,3866,,,,,,
3190,8,19,4,313,15.041,1.43,13.8,7,3.8,0,6,52.2,8376,-34530.906,33247.078,48.789,3872.922,3.836,0.295,226.2719,91.0238,-178.6011,-1.0238,,1,1,3866,,,,,,
3191,8,19,4,513,15.046,1.475,13.8,6.6,4.6,0,6,61.2,8376,-34530.906,33247.078,48.789,3872.922,3.836,0.295,226.2719,91.0238,-178.6011,-1.0238,,1,1,3866,,,,,,
3192,8,19,4,713,15.052,1.673,13.9,6.4,4.2,0,6,50.4,8376,-34530.906,33247.078,48.789,3872.922,3.836,0.295,226.2719,91.0238,-178.6011,-1.0238,,1,1,3866,,,,,,
3193,8,19,4,913,15.056,1.475,13.8,7.4,3.9,0,6,51.6,8376,-34530.906,33247.078,48.789,3872.922,3.836,0.295,226.2719,91.0238,-178.6011,-1.0238,,1,1,3866,,,,,,
3194,8,19,5,113,15.061,1.506,13.9,6.9,4.4,0,6,58.2,8376,-34530.906,33247.078,48.789,3872.922,3.836,0.295,226.2719,91.0238,-178.6011,-1.0238,,1,1,3866,,,,,,
3195,8,19,5,313,15.066,1.43,13.9,7.9,3.5,0,6,49.2,8376,-34530.906,33247.078,48.789,3872.922,3.836,0.295,226.2719,91.0238,-178.6011,-1.0238,,1,1,3866,,,,,,
3196,8,19,5,513,15.068,1.202,13.8,7.7,4,0,6,65.6,8376,-34530.906,33247.078,48.789,3872.922,3.836,0.295,226.2719,91.0238,-178.6011,-1.0238,,1,1,3866,,,,,,
3197,8,19,5,713,15.073,1.156,14,5.9,4.4,0,6,77.3,8376,-34530.923,33247.054,48.794,3872.951,3.83,0.3,226.3374,90.9726,-178.5357,-0.9726,,1,1,3866,,,,,,
3198,8,19,5,913,15.079,1.354,13.8,8.3,3.5,0,6,51.4,8376,-34530.923,33247.054,48.794,3872.951,3.83,0.3,226.3374,90.9726,-178.5357,-0.9726,,1,1,3866,,,,,,
3199,8,19,6,113,15.084,1.688,13.8,6.4,4.6,0,6,54.4,8376,-34530.923,33247.054,48.794,3872.951,3.83,0.3,226.3374,90.9726,-178.5357,-0.9726,,1,1,3866,,,,,,
3200,8,19,6,313,15.089,1.582,13.9,6.8,4,0,6,51.1,8376,-34530.923,33247.054,48.794,3872.951,3.83,0.3,226.3374,90.9726,-178.5357,-0.9726,,1,1,3866,,,,,,
3201,8,19,6,513,15.093,1.43,13.8,7.7,3.7,0,6,51.6,8376,-34530.923,33247.054,48.794,3872.951,3.83,0.3,226.3374,90.9726,-178.5357,-0.9726,,1,1,3866,,,,,,
3202,8,19,6,713,15.096,1.065,13.9,6.8,4.4,0,6,81.2,8376,-34530.923,33247.054,48.794,3872.951,3.83,0.3,226.3374,90.9726,-178.5357,-0.9726,,1,1,3866,,,,,,
3203,8,19,6,913,15.102,1.278,13.9,6,4.5,0,6,70.5,8376,-34530.923,33247.054,48.794,3872.951,3.83,0.3,226.3374,90.9726,-178.5357,-0.9726,,1,1,3866,,,,,,
3204,8,19,7,114,15.107,1.597,13.8,7.3,3.8,0,6,46.6,8376,-34530.923,33247.054,48.794,3872.951,3.83,0.3,226.3374,90.9726,-178.5357,-0.9726,,1,1,3866,,,,,,
3205,8,19,7,313,15.111,1.415,13.8,7.1,4.2,0,6,58.2,8376,-34530.94,33247.03,48.806,3872.98,3.825,0.312,226.3997,90.7761,-178.4734,-0.7761,,1,1,3866,,,,,,
3206,8,19,7,513,15.114,1.156,13.9,6.3,4.6,0,6,79.1,8376,-34530.94,33247.03,48.806,3872.98,3.825,0.312,226.3997,90.7761,-178.4734,-0.7761,,1,1,3866,,,,,,
3207,8,19,7,713,15.12,1.247,13.8,6.9,4,0,6,62.9,8376,-34530.94,33247.03,48.806,3872.98,3.825,0.312,226.3997,90.7761,-178.4734,-0.7761,,1,1,3866,,,,,,
3208,8,19,7,913,15.126,1.612,13.8,6.5,4.6,0,6,56.5,8376,-34530.94,33247.03,48.806,3872.98,3.825,0.312,226.3997,90.7761,-178.4734,-0.7761,,1,1,3866,,,,,,
3209,8,19,8,113,15.13,1.597,14,6.8,3.9,0,6,49.2,8376,-34530.959,33247.01,48.79,3873.007,3.825,0.296,226.4021,90.867,-178.471,-0.867,,1,1,3866,,,,,,
3210,8,19,8,313,15.133,1.262,13.8,8.2,3.8,0,6,58.5,8376,-34530.959,33247.01,48.79,3873.007,3.825,0.296,226.4021,90.867,-178.471,-0.867,,1,1,3866,,,,,,
3211,8,19,8,513,15.137,1.034,13.9,6.8,4.4,0,6,84.8,8376,-34530.959,33247.01,48.79,3873.007,3.825,0.296,226.4021,90.867,-178.471,-0.867,,1,1,3866,,,,,,
3212,8,19,8,713,15.141,1.126,13.9,7.5,3.6,0,6,64.3,8376,-34530.959,33247.01,48.79,3873.007,3.825,0.296,226.4021,90.867,-178.471,-0.867,,1,1,3866,,,,,,
3213,8,19,8,913,15.148,1.658,13.8,6.7,4.6,0,6,54.1,8376,-34530.977,33246.987,48.796,3873.036,3.821,0.302,226.4617,90.9199,-178.4113,-0.9199,,1,1,3866,,,,,,
3214,8,19,9,113,15.152,1.612,13.9,6.5,4.3,0,6,53.4,8376,-34530.977,33246.987,48.796,3873.036,3.821,0.302,226.4617,90.9199,-178.4113,-0.9199,,1,1,3866,,,,,,
3215,8,19,9,313,15.155,1.354,13.8,8,3.6,0,6,52,8376,-34530.977,33246.987,48.796,3873.036,3.821,0.302,226.4617,90.9199,-178.4113,-0.9199,,1,1,3866,,,,,,
3216,8,19,9,513,15.159,1.004,13.8,7.1,4.2,0,6,82.6,8376,-34530.977,33246.987,48.796,3873.036,3.821,0.302,226.4617,90.9199,-178.4113,-0.9199,,1,1,3866,,,,,,
3217,8,19,9,713,15.164,1.202,13.9,5.6,4.6,0,6,76.3,8376,-34530.977,33246.987,48.796,3873.036,3.821,0.302,226.4617,90.9199,-178.4113,-0.9199,,1,1,3866,,,,,,
3218,8,19,9,913,15.171,1.688,13.9,7.5,3.6,0,6,42.9,8376,-34530.977,33246.987,48.796,3873.036,3.821,0.302,226.4617,90.9199,-178.4113,-0.9199,,1,1,3866,,,,,,
3219,8,19,10,113,15.175,1.643,13.9,7.5,4,0,6,49.1,8376,-34530.977,33246.987,48.796,3873.036,3.821,0.302,226.4617,90.9199,-178.4113,-0.9199,,1,1,3866,,,,,,
3220,8,19,10,313,15.178,1.232,14,6.4,4.6,0,6,75.1,8376,-34530.977,33246.987,48.796,3873.036,3.821,0.302,226.4617,90.9199,-178.4113,-0.9199,,1,1,3866,,,,,,
3221,8,19,10,514,15.183,1.247,13.9,8,3.6,0,6,57.3,8376,-34530.977,33246.987,48.796,3873.036,3.821,0.302,226.4617,90.9199,-178.4113,-0.9199,,1,1,3866,,,,,,
3222,8,19,10,713,15.188,1.247,13.8,6.9,4.3,0,6,67.9,8376,-34531.004,33246.965,48.81,3873.071,3.825,0.317,226.3829,90.6741,-178.4902,-0.6741,,1,1,3866,,,,,,
3223,8,19,10,913,15.192,1.415,14,6.4,4.5,0,6,63.7,8376,-34531.004,33246.965,48.81,3873.071,3.825,0.317,226.3829,90.6741,-178.4902,-0.6741,,1,1,3866,,,,,,
3224,8,19,11,113,15.198,1.521,13.9,7.1,3.8,0,6,49.9,8376,-34531.004,33246.965,48.81,3873.071,3.825,0.317,226.3829,90.6741,-178.4902,-0.6741,,1,1,3866,,,,,,
3225,8,19,11,313,15.202,1.338,13.8,7.6,3.9,0,6,57.3,8376,-34531.004,33246.965,48.81,3873.071,3.825,0.317,226.3829,90.6741,-178.4902,-0.6741,,1,1,3866,,,,,,
3226,8,19,11,513,15.206,1.323,13.9,6.8,4.5,0,6,68,8376,-34531.004,33246.965,48.81,3873.071,3.825,0.317,226.3829,90.6741,-178.4902,-0.6741,,1,1,3866,,,,,,
3227,8,19,11,713,15.21,1.293,13.9,7,3.8,0,6,58.4,8376,-34531.004,33246.965,48.81,3873.071,3.825,0.317,226.3829,90.6741,-178.4902,-0.6741,,1,1,3866,,,,,,
3228,8,19,11,913,15.216,1.384,13.8,7.3,4.1,0,6,57.8,8376,-34531.004,33246.965,48.81,3873.071,3.825,0.317,226.3829,90.6741,-178.4902,-0.6741,,1,1,3866,,,,,,
3229,8,19,12,113,15.219,1.399,13.9,6.4,4.7,0,6,66.9,8376,-34531.004,33246.965,48.81,3873.071,3.825,0.317,226.3829,90.6741,-178.4902,-0.6741,,1,1,3866,,,,,,
3230,8,19,12,313,15.224,1.399,13.9,7.1,3.8,0,6,53.7,8376,-34531.024,33246.945,48.791,3873.099,3.824,0.297,226.3822,90.8375,-178.4908,-0.8375,,1,1,3866,,,,,,
3231,8,19,12,513,15.229,1.369,13.8,7.2,4,0,6,56.9,8376,-34531.024,33246.945,48.791,3873.099,3.824,0.297,226.3822,90.8375,-178.4908,-0.8375,,1,1,3866,,,,,,
3232,8,19,12,713,15.234,1.475,13.9,6.8,4.3,0,6,58.9,8376,-34531.024,33246.945,48.791,3873.099,3.824,0.297,226.3822,90.8375,-178.4908,-0.8375,,1,1,3866,,,,,,
3233,8,19,12,913,15.238,1.415,13.8,7.1,3.7,0,6,52.3,8376,-34531.024,33246.945,48.791,3873.099,3.824,0.297,226.3822,90.8375,-178.4908,-0.8375,,1,1,3866,,,,,,
3234,8,19,13,113,15.242,1.186,13.8,7.6,4,0,6,66.1,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3235,8,19,13,313,15.247,1.338,13.9,6.4,4.5,0,6,68,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3236,8,19,13,513,15.252,1.475,13.9,7.1,3.7,0,6,50.3,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3237,8,19,13,713,15.257,1.521,13.8,7.1,4.2,0,6,54.2,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3238,8,19,13,913,15.261,1.384,13.9,6.5,4.6,0,6,66.7,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3239,8,19,14,113,15.266,1.369,13.9,7,3.7,0,6,54.2,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3240,8,19,14,313,15.271,1.323,13.8,7.5,3.9,0,6,57.5,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3241,8,19,14,513,15.275,1.338,13.9,6.8,4.5,0,6,67.4,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3242,8,19,14,713,15.279,1.293,13.9,7,4.1,0,6,62.8,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3243,8,19,14,913,15.283,1.232,13.8,7.1,3.8,0,6,61.4,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3244,8,19,15,113,15.287,1.186,13.8,7.1,4.4,0,6,71.9,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3245,8,19,15,313,15.292,1.399,13.9,6.8,4.3,0,6,61.4,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3246,8,19,15,513,15.296,1.262,13.8,6.6,4.1,0,6,64.7,8376,-34531.054,33246.929,48.79,3873.132,3.834,0.296,226.23,90.9966,-178.643,-0.9966,,1,1,3866,,,,,,
3247,8,19,15,713,15.3,1.293,13.7,7.3,4.1,0,6,61.7,8376,-34531.093,33246.885,48.787,3873.191,3.83,0.294,226.2796,90.9599,-178.5935,-0.9599,,1,1,3866,,,,,,
3248,8,19,15,913,15.305,1.338,13.9,6.4,4.6,0,6,68.8,8376,-34531.093,33246.885,48.787,3873.191,3.83,0.294,226.2796,90.9599,-178.5935,-0.9599,,1,1,3866,,,,,,
3249,8,19,16,113,15.31,1.384,13.8,6.8,4.1,0,6,58.8,8376,-34531.093,33246.885,48.787,3873.191,3.83,0.294,226.2796,90.9599,-178.5935,-0.9599,,1,1,3866,,,,,,
3250,8,19,16,314,15.314,1.323,13.8,7.6,3.7,0,6,55.1,8376,-34531.093,33246.885,48.787,3873.191,3.83,0.294,226.2796,90.9599,-178.5935,-0.9599,,1,1,3866,,,,,,
3251,8,19,16,513,15.318,1.323,13.8,7.7,4.1,0,6,60.9,8376,-34531.093,33246.885,48.787,3873.191,3.83,0.294,226.2796,90.9599,-178.5935,-0.9599,,1,1,3866,,,,,,
3252,8,19,16,713,15.322,1.247,13.9,6.1,4.4,0,6,70.8,8376,-34531.093,33246.885,48.787,3873.191,3.83,0.294,226.2796,90.9599,-178.5935,-0.9599,,1,1,3866,,,,,,
3253,8,19,16,913,15.326,1.217,13.8,8,3.4,0,6,55.2,8376,-34531.093,33246.885,48.787,3873.191,3.83,0.294,226.2796,90.9599,-178.5935,-0.9599,,1,1,3866,,,,,,
3254,8,19,17,113,15.331,1.293,13.8,7.6,4.2,0,6,64.2,8376,-34531.093,33246.885,48.787,3873.191,3.83,0.294,226.2796,90.9599,-178.5935,-0.9599,,1,1,3866,,,,,,
3255,8,19,17,313,15.335,1.247,13.9,6.4,4.5,0,6,72.7,8376,-34531.113,33246.865,48.788,3873.219,3.83,0.294,226.2588,90.9866,-178.6142,-0.9866,,1,1,3866,,,,,,
3256,8,19,17,513,15.339,1.262,13.9,8.2,3.4,0,6,54.2,8376,-34531.113,33246.865,48.788,3873.219,3.83,0.294,226.2588,90.9866,-178.6142,-0.9866,,1,1,3866,,,,,,
3257,8,19,17,713,15.343,1.156,13.8,7,4.4,0,6,74.3,8376,-34531.113,33246.865,48.788,3873.219,3.83,0.294,226.2588,90.9866,-178.6142,-0.9866,,1,1,3866,,,,,,
3258,8,19,17,913,15.347,1.171,14,6.4,4.4,0,6,76.1,8376,-34531.113,33246.865,48.788,3873.219,3.83,0.294,226.2588,90.9866,-178.6142,-0.9866,,1,1,3866,,,,,,
3259,8,19,18,113,15.352,1.43,13.9,7.8,3.5,0,6,48.4,8376,-34531.128,33246.843,48.79,3873.245,3.826,0.296,226.3233,90.9229,-178.5498,-0.9229,,1,1,3866,,,,,,
3260,8,19,18,313,15.357,1.46,13.8,6.3,4.7,0,6,63.2,8376,-34531.128,33246.843,48.79,3873.245,3.826,0.296,226.3233,90.9229,-178.5498,-0.9229,,1,1,3866,,,,,,
3261,8,19,18,513,15.362,1.567,13.9,6.9,4.3,0,6,54.8,8376,-34531.128,33246.843,48.79,3873.245,3.826,0.296,226.3233,90.9229,-178.5498,-0.9229,,1,1,3866,,,,,,
3262,8,19,18,713,15.367,1.43,13.8,7.8,3.4,0,6,47.6,8376,-34531.128,33246.843,48.79,3873.245,3.826,0.296,226.3233,90.9229,-178.5498,-0.9229,,1,1,3866,,,,,,
3263,8,19,18,913,15.371,1.278,13.8,7.6,4,0,6,61.6,8376,-34531.128,33246.843,48.79,3873.245,3.826,0.296,226.3233,90.9229,-178.5498,-0.9229,,1,1,3866,,,,,,
3264,8,19,19,114,15.375,1.278,14,6.1,4.6,0,6,71.9,8376,-34531.128,33246.843,48.79,3873.245,3.826,0.296,226.3233,90.9229,-178.5498,-0.9229,,1,1,3866,,,,,,
3265,8,19,19,313,15.38,1.354,13.9,7.5,3.6,0,6,53.3,8376,-34531.128,33246.843,48.79,3873.245,3.826,0.296,226.3233,90.9229,-178.5498,-0.9229,,1,1,3866,,,,,,
3266,8,19,19,513,15.384,1.323,13.8,7.5,4,0,6,59.8,8376,-34531.128,33246.843,48.79,3873.245,3.826,0.296,226.3233,90.9229,-178.5498,-0.9229,,1,1,3866,,,,,,
3267,8,19,19,713,15.389,1.369,14,6.8,4.4,0,6,64.1,8376,-34531.149,33246.821,48.787,3873.275,3.825,0.293,226.3242,90.9819,-178.5489,-0.9819,,1,1,3866,,,,,,
3268,8,19,19,913,15.394,1.399,13.9,7.3,3.6,0,6,51.8,8376,-34531.149,33246.821,48.787,3873.275,3.825,0.293,226.3242,90.9819,-178.5489,-0.9819,,1,1,3866,,,,,,
3269,8,19,20,113,15.397,1.293,13.8,7.2,4.1,0,6,62.2,8376,-34531.149,33246.821,48.787,3873.275,3.825,0.293,226.3242,90.9819,-178.5489,-0.9819,,1,1,3866,,,,,,
3270,8,19,20,313,15.403,1.384,13.9,7.1,4.4,0,6,62.9,8376,-34531.149,33246.821,48.787,3873.275,3.825,0.293,226.3242,90.9819,-178.5489,-0.9819,,1,1,3866,,,,,,
3271,8,19,20,513,15.407,1.338,13.8,6.5,4.1,0,6,60.5,8376,-34531.149,33246.821,48.787,3873.275,3.825,0.293,226.3242,90.9819,-178.5489,-0.9819,,1,1,3866,,,,,,
3272,8,19,20,713,15.411,1.293,13.8,8,3.6,0,6,54.3,8376,-34531.149,33246.821,48.787,3873.275,3.825,0.293,226.3242,90.9819,-178.5489,-0.9819,,1,1,3866,,,,,,
3273,8,19,20,913,15.416,1.354,13.9,7.3,4.2,0,6,61.4,8376,-34531.149,33246.821,48.787,3873.275,3.825,0.293,226.3242,90.9819,-178.5489,-0.9819,,1,1,3866,,,,,,
3274,8,19,21,113,15.419,1.141,13.9,6.3,4.2,0,6,73.6,8376,-34531.149,33246.821,48.787,3873.275,3.825,0.293,226.3242,90.9819,-178.5489,-0.9819,,1,1,3866,,,,,,
3275,8,19,21,313,15.423,1.202,13.8,7.5,3.7,0,6,60.8,8376,-34531.169,33246.799,48.785,3873.305,3.823,0.291,226.3123,90.9307,-178.5608,-0.9307,,1,1,3866,,,,,,
3276,8,19,21,513,15.428,1.308,13.8,7.2,4.4,0,6,65.7,8376,-34531.169,33246.799,48.785,3873.305,3.823,0.291,226.3123,90.9307,-178.5608,-0.9307,,1,1,3866,,,,,,
3277,8,19,21,713,15.432,1.293,13.9,6.3,4.3,0,6,66,8376,-34531.169,33246.799,48.785,3873.305,3.823,0.291,226.3123,90.9307,-178.5608,-0.9307,,1,1,3866,,,,,,
3278,8,19,21,913,15.436,1.293,13.8,8.4,3.5,0,6,53.9,8376,-34531.169,33246.799,48.785,3873.305,3.823,0.291,226.3123,90.9307,-178.5608,-0.9307,,1,1,3866,,,,,,
3279,8,19,22,113,15.441,1.293,13.8,7.2,4.4,0,6,66.4,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3280,8,19,22,313,15.445,1.217,13.9,6.6,4.1,0,6,67.3,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3281,8,19,22,514,15.45,1.43,13.8,7,4,0,6,54.8,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3282,8,19,22,713,15.455,1.506,13.8,7.3,4.4,0,6,57.4,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3283,8,19,22,913,15.459,1.415,13.9,6.5,4.2,0,6,58.7,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3284,8,19,23,113,15.464,1.308,13.8,8,3.7,0,6,55.2,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3285,8,19,23,314,15.468,1.293,13.8,6.4,4.6,0,6,70.6,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3286,8,19,23,513,15.473,1.308,13.9,6.5,4.2,0,6,64.3,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3287,8,19,23,713,15.478,1.491,13.8,7.1,3.9,0,6,51.9,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3288,8,19,23,913,15.483,1.46,13.8,7.2,4.3,0,6,57.3,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3289,8,19,24,113,15.487,1.445,13.9,6.5,4.3,0,6,59.3,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3290,8,19,24,313,15.492,1.399,13.8,7.8,3.7,0,6,52.2,8376,-34531.186,33246.778,48.798,3873.332,3.82,0.305,226.3357,90.8314,-178.5373,-0.8314,,1,1,3866,,,,,,
3291,8,19,24,513,15.496,1.293,13.8,6.3,4.8,0,6,72.3,8376,-34531.226,33246.734,48.791,3873.391,3.817,0.297,226.3828,90.8532,-178.4903,-0.8532,,1,1,3866,,,,,,
3292,8,19,24,713,15.501,1.369,13.9,6.6,4.2,0,6,61,8376,-34531.226,33246.734,48.791,3873.391,3.817,0.297,226.3828,90.8532,-178.4903,-0.8532,,1,1,3866,,,,,,
3293,8,19,24,913,15.506,1.46,13.8,7.6,3.8,0,6,50.8,8376,-34531.226,33246.734,48.791,3873.391,3.817,0.297,226.3828,90.8532,-178.4903,-0.8532,,1,1,3866,,,,,,
3294,8,19,25,113,15.511,1.475,13.8,6.7,4.5,0,6,59.8,8376,-34531.226,33246.734,48.791,3873.391,3.817,0.297,226.3828,90.8532,-178.4903,-0.8532,,1,1,3866,,,,,,
3295,8,19,25,313,15.515,1.415,13.9,6.6,4.1,0,6,57.8,8376,-34531.226,33246.734,48.791,3873.391,3.817,0.297,226.3828,90.8532,-178.4903,-0.8532,,1,1,3866,,,,,,
3296,8,19,25,513,15.52,1.445,13.7,7.3,4,0,6,54.1,8376,-34531.226,33246.734,48.791,3873.391,3.817,0.297,226.3828,90.8532,-178.4903,-0.8532,,1,1,3866,,,,,,
3297,8,19,25,713,15.525,1.415,13.8,6.6,4.5,0,6,62.2,8376,-34531.226,33246.734,48.791,3873.391,3.817,0.297,226.3828,90.8532,-178.4903,-0.8532,,1,1,3866,,,,,,
3298,8,19,25,913,15.53,1.43,14.1,6.2,3.9,0,6,55.2,8376,-34531.226,33246.734,48.791,3873.391,3.817,0.297,226.3828,90.8532,-178.4903,-0.8532,,1,1,3866,,,,,,
3299,8,19,26,113,15.538,1.795,14,6.5,4.2,0,6,46.8,8376,-34531.248,33246.713,48.793,3873.421,3.818,0.299,226.3404,90.8314,-178.5326,-0.8314,,1,1,3866,,,,,,
3300,8,19,26,313,15.543,1.871,14.2,7,4.1,0,6,45.6,8376,-34531.248,33246.713,48.793,3873.421,3.818,0.299,226.3404,90.8314,-178.5326,-0.8314,,1,1,3866,,,,,,
3301,8,19,26,513,15.549,1.856,13.7,6.2,4.5,0,6,47.6,8376,-34531.248,33246.713,48.793,3873.421,3.818,0.299,226.3404,90.8314,-178.5326,-0.8314,,1,1,3866,,,,,,
3302,8,19,26,713,15.556,1.901,14,5.7,4.2,0,6,44.9,8376,-34531.248,33246.713,48.793,3873.421,3.818,0.299,226.3404,90.8314,-178.5326,-0.8314,,1,1,3866,,,,,,
3303,8,19,26,913,15.564,2.16,13.9,7,4,0,6,36.7,8376,-34531.248,33246.713,48.793,3873.421,3.818,0.299,226.3404,90.8314,-178.5326,-0.8314,,1,1,3866,,,,,,
3304,8,19,27,113,15.568,1.916,14,6.5,4.4,0,6,46.2,8376,-34531.281,33246.686,48.806,3873.464,3.822,0.312,226.3057,90.9039,-178.5674,-0.9039,,1,1,3866,,,,,,
3305,8,19,27,313,15.575,1.78,13.9,6.6,4.4,0,6,49.3,8376,-34531.281,33246.686,48.806,3873.464,3.822,0.312,226.3057,90.9039,-178.5674,-0.9039,,1,1,3866,,,,,,
3306,8,19,27,513,15.58,1.673,13.9,6.3,4.2,0,6,49.4,8376,-34531.281,33246.686,48.806,3873.464,3.822,0.312,226.3057,90.9039,-178.5674,-0.9039,,1,1,3866,,,,,,
3307,8,19,27,713,15.584,1.43,13.8,7.6,4,0,6,54.5,8376,-34531.281,33246.686,48.806,3873.464,3.822,0.312,226.3057,90.9039,-178.5674,-0.9039,,1,1,3866,,,,,,
