2025_07_29_07_12_06_L_002.csv,ブーム:,L,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
104,10,6,20,473,1.134,1.475,14.4,5.5,5.9,0,1,94.5,1460,-34518.469,33248.408,49.831,3863.17,-3.997,1.337,43.5757,86.7981,-1.2973,3.2019,,1,1,3866,,,,,,
105,10,6,20,673,1.139,1.445,14.4,6,5.5,0,1,89.2,1460,-34518.469,33248.408,49.831,3863.17,-3.997,1.337,43.5757,86.7981,-1.2973,3.2019,,1,1,3866,,,,,,
106,10,6,20,873,1.143,1.384,14.4,5.3,5.9,0,1,100.5,1460,-34518.443,33248.435,49.817,3863.133,-3.996,1.324,43.5502,86.9069,-1.3229,3.0931,,1,1,3866,,,,,,
107,10,6,21,74,1.148,1.43,14.4,5.9,5.4,0,1,89.1,1460,-34518.443,33248.435,49.817,3863.133,-3.996,1.324,43.5502,86.9069,-1.3229,3.0931,,1,1,3866,,,,,,
108,10,6,21,274,1.153,1.384,14.4,5.7,5.8,0,1,98.6,1460,-34518.443,33248.435,49.817,3863.133,-3.996,1.324,43.5502,86.9069,-1.3229,3.0931,,1,1,3866,,,,,,
109,10,6,21,474,1.158,1.415,14.4,6.1,5.5,0,1,92.1,1460,-34518.443,33248.435,49.817,3863.133,-3.996,1.324,43.5502,86.9069,-1.3229,3.0931,,1,1,3866,,,,,,
110,10,6,21,673,1.162,1.338,14.4,5.9,5.4,0,1,95.6,1460,-34518.443,33248.435,49.817,3863.133,-3.996,1.324,43.5502,86.9069,-1.3229,3.0931,,1,1,3866,,,,,,
111,10,6,21,873,1.166,1.308,14.4,5.7,5.7,0,1,103.8,1460,-34518.443,33248.435,49.817,3863.133,-3.996,1.324,43.5502,86.9069,-1.3229,3.0931,,1,1,3866,,,,,,
112,10,6,22,73,1.172,1.445,14.4,5.9,5.4,0,1,88.8,1460,-34518.443,33248.435,49.817,3863.133,-3.996,1.324,43.5502,86.9069,-1.3229,3.0931,,1,1,3866,,,,,,
113,10,6,22,273,1.176,1.399,14.4,5.9,5.5,0,1,92.3,1460,-34518.443,33248.435,49.817,3863.133,-3.996,1.324,43.5502,86.9069,-1.3229,3.0931,,1,1,3866,,,,,,
